编号,物品名称,位置,数量,图片路径,识别状态
ITEM0001,镇部之宝纪念盒,PENDING_A,若干,/data/A/ITEM0001_镇部之宝纪念盒.jpg,已确认
ITEM0002,卡通吉祥物头套,PENDING_A,若干,/data/A/ITEM0002_卡通吉祥物头套.jpg,已确认
ITEM0003,充气活动道具,PENDING_A,若干,/data/A/ITEM0003_充气活动道具.jpg,待确认具体类型
ITEM0004,宣传展板,PENDING_A,若干,/data/A/ITEM0004_宣传展板.jpg,已确认
ITEM0005,素描纸,PENDING_A,若干,/data/A/ITEM0005_素描纸.jpg,已确认
ITEM0006,仿真花,PENDING_A,若干,/data/A/ITEM0006_仿真花.jpg,已确认
ITEM0007,袖章与袖套,PENDING_A,若干,/data/A/ITEM0007_袖章与袖套.jpg,已确认
ITEM0008,篷布,PENDING_A,若干,/data/A/ITEM0008_篷布.jpg,已确认
ITEM0009,折叠桌收纳包,PENDING_A,若干,/data/A/ITEM0009_折叠桌收纳包.jpg,待确认是否含桌具
ITEM0010,鼓,PENDING_A,若干,/data/A/ITEM0010_鼓.jpg,已确认
ITEM0011,学部Logo服装,PENDING_B,若干,/data/B/ITEM0011_学部Logo服装.jpg,已确认
ITEM0012,学校Logo马甲,PENDING_B,若干,/data/B/ITEM0012_学校Logo马甲.jpg,已确认
ITEM0013,迎新工作证,PENDING_B,若干,/data/B/ITEM0013_迎新工作证.jpg,已确认
ITEM0014,篮球服,PENDING_B,若干,/data/B/ITEM0014_篮球服.jpg,已确认
ITEM0015,学部Polo衫,PENDING_B,若干,/data/B/ITEM0015_学部Polo衫.jpg,已确认
ITEM0016,反光背心,PENDING_B,若干,/data/B/ITEM0016_反光背心.jpg,已确认
ITEM0017,消防马甲,PENDING_B,若干,/data/B/ITEM0017_消防马甲.jpg,已确认
ITEM0018,绿色袋装服装,PENDING_B,若干,/data/B/ITEM0018_绿色袋装服装.jpg,待确认具体服装
ITEM0019,民族服装,PENDING_B,若干,/data/B/ITEM0019_民族服装.jpg,已确认
ITEM0020,草帽,PENDING_B,若干,/data/B/ITEM0020_草帽.jpg,已确认
ITEM0021,小国旗,PENDING_A,若干,/data/A/ITEM0021_小国旗.jpg,已确认
ITEM0022,矿泉水,PENDING_A,若干,/data/A/ITEM0022_矿泉水.jpg,已确认
ITEM0023,塑料盆,B3,若干,/data/B/B3/ITEM0023_塑料盆.jpg,已确认
ITEM0024,鼓收纳包,B3,若干,/data/B/B3/ITEM0024_鼓收纳包.jpg,已确认
ITEM0025,素质拓展球,B3,若干,/data/B/B3/ITEM0025_素质拓展球.jpg,已确认
ITEM0026,素质拓展旗帜,B3,若干,/data/B/B3/ITEM0026_素质拓展旗帜.jpg,已确认
ITEM0027,素质拓展器材,B3,若干,/data/B/B3/ITEM0027_素质拓展器材.jpg,已确认
