编号,微信原序号,位置,物品名称,视觉识别状态,原始路径,新路径
ITEM0001,1,A?,镇部之宝纪念盒,已确认,data/A/微信图片_20260913170503_1_3107.jpg,data/A/ITEM0001_镇部之宝纪念盒.jpg
ITEM0002,5,A?,卡通吉祥物头套,已确认,data/A/微信图片_20260913170551_5_3107.jpg,data/A/ITEM0002_卡通吉祥物头套.jpg
ITEM0003,7,A?,充气活动道具,待确认具体类型,data/A/微信图片_20260913170624_7_3107.jpg,data/A/ITEM0003_充气活动道具.jpg
ITEM0004,9,A?,宣传展板,已确认,data/A/微信图片_20260913170637_9_3107.jpg,data/A/ITEM0004_宣传展板.jpg
ITEM0005,12,A?,素描纸,已确认,data/A/微信图片_20260913170727_12_3107.jpg,data/A/ITEM0005_素描纸.jpg
ITEM0006,14,A?,仿真花,已确认,data/A/微信图片_20260913170737_14_3107.jpg,data/A/ITEM0006_仿真花.jpg
ITEM0007,16,A?,袖章与袖套,已确认,data/A/微信图片_20260913170801_16_3107.jpg,data/A/ITEM0007_袖章与袖套.jpg
ITEM0008,19,A?,篷布,已确认,data/A/微信图片_20260913170829_19_3107.jpg,data/A/ITEM0008_篷布.jpg
ITEM0009,22,A?,折叠桌收纳包,待确认是否含桌具,data/A/微信图片_20260913170850_22_3107.jpg,data/A/ITEM0009_折叠桌收纳包.jpg
ITEM0010,24,A?,鼓,已确认,data/A/微信图片_20260913170900_24_3107.jpg,data/A/ITEM0010_鼓.jpg
ITEM0011,27,B?,学部Logo服装,已确认,data/B/微信图片_20260913170929_27_3107.jpg,data/B/ITEM0011_学部Logo服装.jpg
ITEM0012,30,B?,学校Logo马甲,已确认,data/B/微信图片_20260913171001_30_3107.jpg,data/B/ITEM0012_学校Logo马甲.jpg
ITEM0013,32,B?,迎新工作证,已确认,data/B/微信图片_20260913171027_32_3107.jpg,data/B/ITEM0013_迎新工作证.jpg
ITEM0014,34,B?,篮球服,已确认,data/B/微信图片_20260913171046_34_3107.jpg,data/B/ITEM0014_篮球服.jpg
ITEM0015,36,B?,学部Polo衫,已确认,data/B/微信图片_20260913171109_36_3107.jpg,data/B/ITEM0015_学部Polo衫.jpg
ITEM0016,38,B?,反光背心,已确认,data/B/微信图片_20260913171135_38_3107.jpg,data/B/ITEM0016_反光背心.jpg
ITEM0017,40,B?,消防马甲,已确认,data/B/微信图片_20260913171146_40_3107.jpg,data/B/ITEM0017_消防马甲.jpg
ITEM0018,42,B?,绿色袋装服装,待确认具体服装,data/B/微信图片_20260913171155_42_3107.jpg,data/B/ITEM0018_绿色袋装服装.jpg
ITEM0019,44,B?,民族服装,已确认,data/B/微信图片_20260913171206_44_3107.jpg,data/B/ITEM0019_民族服装.jpg
ITEM0020,46,B?,草帽,已确认,data/B/微信图片_20260913171216_46_3107.jpg,data/B/ITEM0020_草帽.jpg
ITEM0021,50,A?,小国旗,已确认,data/A/微信图片_20260913171251_50_3107.jpg,data/A/ITEM0021_小国旗.jpg
ITEM0022,51,A?,矿泉水,已确认,data/A/微信图片_20260913171259_51_3107.jpg,data/A/ITEM0022_矿泉水.jpg
ITEM0023,53,B3,塑料盆,已确认,data/B/B3/微信图片_20260913171317_53_3107.jpg,data/B/B3/ITEM0023_塑料盆.jpg
ITEM0024,55,B3,鼓收纳包,已确认,data/B/B3/微信图片_20260913171325_55_3107.jpg,data/B/B3/ITEM0024_鼓收纳包.jpg
ITEM0025,57,B3,素质拓展球,已确认,data/B/B3/微信图片_20260913171335_57_3107.jpg,data/B/B3/ITEM0025_素质拓展球.jpg
ITEM0026,59,B3,素质拓展旗帜,已确认,data/B/B3/微信图片_20260913171349_59_3107.jpg,data/B/B3/ITEM0026_素质拓展旗帜.jpg
ITEM0027,61,B3,素质拓展器材,已确认,data/B/B3/微信图片_20260913171418_61_3107.jpg,data/B/B3/ITEM0027_素质拓展器材.jpg
ITEM0028,63,B3,荧光棒,已确认,data/B/B3/微信图片_20260913171439_63_3107.jpg,data/B/B3/ITEM0028_荧光棒.jpg
ITEM0029,66,B4,啦啦队彩球,已确认,data/B/B4/微信图片_20260913171454_66_3107.jpg,data/B/B4/ITEM0029_啦啦队彩球.jpg
ITEM0030,68,B4,毛巾,已确认,data/B/B4/微信图片_20260913171509_68_3107.jpg,data/B/B4/ITEM0030_毛巾.jpg
ITEM0031,70,B4,爱心义卖箱,已确认,data/B/B4/微信图片_20260913171520_70_3107.jpg,data/B/B4/ITEM0031_爱心义卖箱.jpg
ITEM0032,72,B4,学士帽,已确认,data/B/B4/微信图片_20260913171532_72_3107.jpg,data/B/B4/ITEM0032_学士帽.jpg
ITEM0033,75,C?,花瓶,已确认,data/C/微信图片_20260913171602_75_3107.jpg,data/C/ITEM0033_花瓶.jpg
ITEM0034,77,C?,彩色编织篮,已确认,data/C/微信图片_20260913171615_77_3107.jpg,data/C/ITEM0034_彩色编织篮.jpg
ITEM0035,79,C?,茶具,已确认,data/C/微信图片_20260913171626_79_3107.jpg,data/C/ITEM0035_茶具.jpg
ITEM0036,81,C?,酒礼盒,已确认,data/C/微信图片_20260913171637_81_3107.jpg,data/C/ITEM0036_酒礼盒.jpg
ITEM0037,83,C?,风车,已确认,data/C/微信图片_20260913171656_83_3107.jpg,data/C/ITEM0037_风车.jpg
ITEM0038,85,C?,奖品笔记本套装,已确认,data/C/微信图片_20260913171717_85_3107.jpg,data/C/ITEM0038_奖品笔记本套装.jpg
ITEM0039,87,C?,捏捏乐玩具,已确认,data/C/微信图片_20260913171733_87_3107.jpg,data/C/ITEM0039_捏捏乐玩具.jpg
ITEM0040,89,C?,面具与手机支架,已确认,data/C/微信图片_20260913171746_89_3107.jpg,data/C/ITEM0040_面具与手机支架.jpg
ITEM0041,91,C?,古装道具剑与折扇,已确认,data/C/微信图片_20260913171817_91_3107.jpg,data/C/ITEM0041_古装道具剑与折扇.jpg
ITEM0042,94,C3,手持标语牌,已确认,data/C/C3/微信图片_20260913171835_94_3107.jpg,data/C/C3/ITEM0042_手持标语牌.jpg
ITEM0043,96,C3,抽奖箱,已确认,data/C/C3/微信图片_20260913171843_96_3107.jpg,data/C/C3/ITEM0043_抽奖箱.jpg
ITEM0044,98,C4,羊角锤,已确认,data/C/C4/微信图片_20260913171855_98_3107.jpg,data/C/C4/ITEM0044_羊角锤.jpg
ITEM0045,100,C4,钢丝钳,已确认,data/C/C4/微信图片_20260913171906_100_3107.jpg,data/C/C4/ITEM0045_钢丝钳.jpg
ITEM0046,102,C4,卷尺,已确认,data/C/C4/微信图片_20260913171912_102_3107.jpg,data/C/C4/ITEM0046_卷尺.jpg
ITEM0047,104,C4,铁丝,已确认,data/C/C4/微信图片_20260913171923_104_3107.jpg,data/C/C4/ITEM0047_铁丝.jpg
ITEM0048,106,C4,台式电脑主机,已确认,data/C/C4/微信图片_20260913171931_106_3107.jpg,data/C/C4/ITEM0048_台式电脑主机.jpg
